State,County
illinois,adams
illinois,alexander
illinois,bond
illinois,boone
illinois,brown
illinois,bureau
illinois,calhoun
illinois,carroll
illinois,cass
illinois,champaign
illinois,christian
illinois,clark
illinois,clay
illinois,clinton
illinois,coles
illinois,cook
illinois,crawford
illinois,cumberland
illinois,de witt
illinois,douglas
illinois,du page
illinois,edgar
illinois,edwards
illinois,effingham
illinois,fayette
illinois,ford
illinois,franklin
illinois,fulton
illinois,gallatin
illinois,greene
illinois,grundy
illinois,hamilton
illinois,hancock
illinois,hardin
illinois,henderson
illinois,henry
illinois,iroquois
illinois,jackson
illinois,jasper
illinois,jefferson
illinois,jersey
illinois,jo daviess
illinois,johnson
illinois,kane
illinois,kankakee
illinois,kendall
illinois,knox
illinois,la salle
illinois,lake
illinois,lawrence
illinois,lee
illinois,livingston
illinois,logan
illinois,macon
illinois,macoupin
illinois,madison
illinois,marion
illinois,marshall
illinois,mason
illinois,massac
illinois,mcdonough
illinois,mchenry
illinois,mclean
illinois,menard
illinois,mercer
illinois,monroe
illinois,montgomery
illinois,morgan
illinois,moultrie
illinois,ogle
illinois,peoria
illinois,perry
illinois,piatt
illinois,pike
illinois,pope
illinois,pulaski
illinois,putnam
illinois,randolph
illinois,richland
illinois,rock island
illinois,saline
illinois,sangamon
illinois,schuyler
illinois,scott
illinois,shelby
illinois,st clair
illinois,stark
illinois,stephenson
illinois,tazewell
illinois,union
illinois,vermilion
illinois,wabash
illinois,warren
illinois,washington
illinois,wayne
illinois,white
illinois,whiteside
illinois,will
illinois,williamson
illinois,winnebago
illinois,woodford
indiana,adams
indiana,allen
indiana,bartholomew
indiana,benton
indiana,blackford
indiana,boone
indiana,brown
indiana,carroll
indiana,cass
indiana,clark
indiana,clay
indiana,clinton
indiana,crawford
indiana,daviess
indiana,de kalb
indiana,dearborn
indiana,decatur
indiana,delaware
indiana,dubois
indiana,elkhart
indiana,fayette
indiana,floyd
indiana,fountain
indiana,franklin
indiana,fulton
indiana,gibson
indiana,grant
indiana,greene
indiana,hamilton
indiana,hancock
indiana,harrison
indiana,hendricks
indiana,henry
indiana,howard
indiana,huntington
indiana,jackson
indiana,jasper
indiana,jay
indiana,jefferson
indiana,jennings
